Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,New building,Age,Design,Heating,Total number of floors,PENB,Condition,Renovation,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
717705,"CZK 41,250",50.0912734,14.4238585,"Haštalské náměstí, Prague - Staré Město",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,Yes,No,No,No,No,No,26. 05. 2022,55,370,51,238,66,242,352,396,158,122,,,,,,,,,,,,,,,,,
717701,"CZK 39,000",50.0783085,14.4591283,"Sudoměřská, Prague - Žižkov",2 bedroom,55 m²,"CZK 13,000",Furnished,1,No,No,No,No,No,Yes,No,04. 07. 2022,162,361,105,219,131,171,646,471,736,206,,,,,,,,,,,,,,,,,
717693,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,06. 06. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,,
717683,"CZK 35,175",50.0747395,14.424046,"Lípová, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 11,725",Furnished,5,No,No,No,No,No,No,No,01. 06. 2022,120,534,85,337,48,344,183,195,543,341,,,,,,,,,,,,,,,,,
717684,"CZK 48,000",50.0718291,14.4385892,"Americká, Prague - Vinohrady",3 bedroom,72 m²,"CZK 16,000",Furnished,5,No,No,No,No,No,Yes,No,25. 06. 2022,274,300,81,587,69,312,103,253,793,568,,,,,,,,,,,,,,,,,
717666,"CZK 63,000",50.0895437,14.4260543,"Rybná, Prague - Staré Město",3 bedroom,86 m²,"CZK 21,000",Furnished,3,No,No,No,No,No,No,No,01. 07. 2022,138,70,36,61,45,257,146,128,234,214,,,,,,,,,,,,,,,,,
717653,"CZK 43,710",50.0918754,14.4250902,"Řásnovka, Prague - Staré Město",3 bedroom,55 m²,"CZK 14,570",Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,158,249,155,246,113,320,391,409,155,114,,,,,,,,,,,,,,,,,
717631,"CZK 25,500",50.0876289,14.3978335,"Šporkova, Prague - Malá Strana",Studio,40 m²,"CZK 8,500",Furnished,1,No,No,No,No,No,No,No,07. 07. 2022,29,634,152,537,130,317,388,899,984,129,,,,,,,,,,,,,,,,,
717614,"CZK 37,620",50.0706439,14.4164891,"Trojická, Prague - Nové Město",1 bedroom with open-plan kitchen,60 m²,"CZK 12,540",Furnished,3,No,No,No,No,No,Yes,No,30. 06. 2022,212,694,96,186,110,101,316,52,369,339,,,,,,,,,,,,,,,,,
539052,"CZK 9,000",50.0786875,14.650454,"Plhovská, Prague - Újezd nad Lesy",1 bedroom with open-plan kitchen,35 m²,"CZK 2,210",Partially furnished,1,No,No,No,No,Yes,No,No,01. 06. 2022,207,"1,101",432,"1,117",247,349,281,601,249,,"CZK 15,000",Personal,Brick building,Yes,10 to 30 years years,Standard materials and solutions,Central heating,Raised ground floor,B,,,,,,,,
718999,"CZK 30,301",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",Studio,50 m²,"CZK 10,100",Furnished,5,Yes,Yes,No,No,No,Yes,Yes,17. 07. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,,
718998,"CZK 14,500",50.01614,14.43864,"Olbramovická, Prague - Kamýk",1 bedroom with open-plan kitchen,41 m²,"CZK 2,500",Furnished,2,No,No,Yes,Yes,Yes,Yes,No,15. 06. 2022,177,"1,100",55,"1,183",713,282,482,571,728,408,"CZK 25,000",Cooperative,Prefab concrete building,,,,District heating,,G,Excellent,Overall,,,,,,
718993,"CZK 35,925",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",Studio,30 m²,"CZK 11,975",Furnished,6,No,No,No,No,No,Yes,No,21. 05. 2022,22,463,81,96,72,158,361,436,384,451,,,,,,,,,,,,,,,,,
5002,"CZK 13,900",49.983922,14.363353,"Zbynická, Prague - Radotín",1 bedroom with open-plan kitchen,75 m²,"CZK 4,600",Partially furnished,1,No,No,No,No,No,No,No,01. 06. 2022,71,544,81,136,259,62,499,734,551,266,"CZK 18,500",Other,Brick building,,,,,,,,,8 m²,,,,,
718973,"CZK 18,999",50.12934,14.47498,"Střekovská, Prague - Kobylisy",2 bedroom with open-plan kitchen,68 m²,"CZK 4,500",Furnished,5,No,No,No,Yes,No,Yes,No,01. 07. 2022,231,482,179,582,167,583,276,361,"1,418",140,"CZK 25,000",Personal,Prefab concrete building,,,,,,C,Excellent,,,,,,,
554807,"CZK 21,500",50.0465752,14.4461258,Prague - Krč,3 bedroom,76 m²,"CZK 2,500",Furnished,2,No,No,Yes,No,Yes,Yes,No,01. 07. 2021,176,470,65,126,78,163,395,656,806,289,CZK 1,Personal,Brick building,,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,C,Excellent,Overall,,,,,,
